Question,Question Type,QID,Answer,Title,EM,F1,Question Words,Answer Words,Question Length,Answer Length
What do early symptoms include?,What,16,"anxiety/restlessness, rapid short respirations, runny nose, tearing eyes, sweating, insomnia, and dilated reactive pupils",Specifications,1,1.0,"['What', 'do', 'early', 'symptoms', 'include', '?']","['anxiety', '/', 'restlessness', ',', 'rapid', 'short', 'respirations', ',', 'runny', 'nose', ',', 'tearing', 'eyes', ',', 'sweating', ',', 'insomnia', ',', 'and', 'dilated', 'reactive', 'pupils']",6,22
When we may not see withdrawal symptoms?,When,17,with a gradual taper,Specifications,1,1.0,"['When', 'we', 'may', 'not', 'see', 'withdrawal', 'symptoms', '?']","['with', 'a', 'gradual', 'taper']",8,4
What can be utilized to assist with managing the withdrawal symptoms?,What,18,Short-term oral medications,Specifications,1,1.0,"['What', 'can', 'be', 'utilized', 'to', 'assist', 'with', 'managing', 'the', 'withdrawal', 'symptoms', '?']","['Short', '-', 'term', 'oral', 'medications']",12,5
Which withdrawal symptoms in patients with chronic pain may improve over time?,Which,19,"fatigue, mental functioning, pain, and well-being",Specifications,1,1.0,"['Which', 'withdrawal', 'symptoms', 'in', 'patients', 'with', 'chronic', 'pain', 'may', 'improve', 'over', 'time', '?']","['fatigue', ',', 'mental', 'functioning', ',', 'pain', ',', 'and', 'well', '-', 'being']",13,11
How long does it take to resolve early symptoms?,How,20,"5 to 10 days following opioid dose reduction/cessation but may take longer depending on the half-life of the opioid (e.g., methadone)",Specifications,0,0.34782608695652173,"['How', 'long', 'does', 'it', 'take', 'to', 'resolve', 'early', 'symptoms', '?']","['5', 'to', '10', 'days', 'following', 'opioid', 'dose', 'reduction', '/', 'cessation', 'but', 'may', 'take', 'longer', 'depending', 'on', 'the', 'half', '-', 'life', 'of', 'the', 'opioid', '(', 'e.g.', ',', 'methadone', ')']",10,28
How long does it take for late withdrawal symptoms to appear?,How,21,days to weeks,Specifications,1,1.0,"['How', 'long', 'does', 'it', 'take', 'for', 'late', 'withdrawal', 'symptoms', 'to', 'appear', '?']","['days', 'to', 'weeks']",12,3
What not to use to treat withdrawal symptoms?,What,22,an opioid or benzodiazepine,Specifications,1,1.0,"['What', 'not', 'to', 'use', 'to', 'treat', 'withdrawal', 'symptoms', '?']","['an', 'opioid', 'or', 'benzodiazepine']",9,4
Which symptoms of withdrawal may take longer?,Which,23,"dysphoria, insomnia",Specifications,0,0.5714285714285715,"['Which', 'symptoms', 'of', 'withdrawal', 'may', 'take', 'longer', '?']","['dysphoria', ',', 'insomnia']",8,3
What to do if an SUD is identified?,What,24,find out if the patient is willing to engage in SUD therapy,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'an', 'SUD', 'is', 'identified', '?']","['find', 'out', 'if', 'the', 'patient', 'is', 'willing', 'to', 'engage', 'in', 'SUD', 'therapy']",9,12
What to do if the patient is not willing to engage in SUD therapy?,What,25,"address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated (see VA/DoD SUD CPG and Academic Detailing Tapering Document), exit algorithm and manage with non-opioid modalities",Algorithm,0,0.5882352941176471,"['What', 'to', 'do', 'if', 'the', 'patient', 'is', 'not', 'willing', 'to', 'engage', 'in', 'SUD', 'therapy', '?']","['address', 'safety', 'and', 'misuse', ',', 'assess', 'for', 'withdrawal', 'symptoms', 'and', 'offer', 'expedited', 'taper', ',', 'immediate', 'discontinuation', 'or', 'detox', 'as', 'indicated', ',', 'continue', 'to', 'monitor', 'for', 'SUD', 'and', 'mental', 'health', 'comorbidities', 'and', 'offer', 'treatment', 'as', 'indicated', '(', 'see', 'VA', '/', 'DoD', 'SUD', 'CPG', 'and', 'Academic', 'Detailing', 'Tapering', 'Document', ')', ',', 'exit', 'algorithm', 'and', 'manage', 'with', 'non', '-', 'opioid', 'modalities']",15,58
What to do if there is no concern for diversion?,What,26,follow-up 1 week to 1 month after each change in dosage and after discontinuation considering patient and treatment characteristics,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'is', 'no', 'concern', 'for', 'diversion', '?']","['follow', '-', 'up', '1', 'week', 'to', '1', 'month', 'after', 'each', 'change', 'in', 'dosage', 'and', 'after', 'discontinuation', 'considering', 'patient', 'and', 'treatment', 'characteristics']",11,21
What is Module C about?,What,27,tapering or discontinuation of opioid therapy,Algorithm,0,0.923076923076923,"['What', 'is', 'Module', 'C', 'about', '?']","['tapering', 'or', 'discontinuation', 'of', 'opioid', 'therapy']",6,6
What to consider for patients who are actively engaged in skills training?,What,28,reduced rate of taper or pause in taper,Algorithm,1,1.0,"['What', 'to', 'consider', 'for', 'patients', 'who', 'are', 'actively', 'engaged', 'in', 'skills', 'training', '?']","['reduced', 'rate', 'of', 'taper', 'or', 'pause', 'in', 'taper']",13,8
What to do if there is no high risk or dangerous behavior?,What,29,"develop an individualized tapering treatment plan (including pace of tapering, setting of care) based on patient and treatment characteristics",Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'is', 'no', 'high', 'risk', 'or', 'dangerous', 'behavior', '?']","['develop', 'an', 'individualized', 'tapering', 'treatment', 'plan', '(', 'including', 'pace', 'of', 'tapering', ',', 'setting', 'of', 'care', ')', 'based', 'on', 'patient', 'and', 'treatment', 'characteristics']",13,22
What are some examples of high-risk or dangerous behavior?,What,30,"overdose event, accidents, and threatening provider",Algorithm,1,1.0,"['What', 'are', 'some', 'examples', 'of', 'high', '-', 'risk', 'or', 'dangerous', 'behavior', '?']","['overdose', 'event', ',', 'accidents', ',', 'and', 'threatening', 'provider']",12,8
What to do if an SUD is not identified?,What,31,"identify the followings: use of opioids to modulate emotions (i.e., “chemical coping”), untreated or undertreated psychiatric disorder",Algorithm,0,0.09523809523809523,"['What', 'to', 'do', 'if', 'an', 'SUD', 'is', 'not', 'identified', '?']","['identify', 'the', 'followings', ':', 'use', 'of', 'opioids', 'to', 'modulate', 'emotions', '(', 'i.e.', ',', '“', 'chemical', 'coping', '”', ')', ',', 'untreated', 'or', 'undertreated', 'psychiatric', 'disorder']",10,24
What to consider at each interaction with patient during the follow-ups?,What,32,"educate on self-management and risks of OT, optimize whole person approach to pain care, optimize treatment of co-occurring mental health conditions, optimize non-opioid pain treatment modalities, reassess for OUD and readiness for OUD treatment as indicated",Algorithm,0,0.05405405405405406,"['What', 'to', 'consider', 'at', 'each', 'interaction', 'with', 'patient', 'during', 'the', 'follow', '-', 'ups', '?']","['educate', 'on', 'self', '-', 'management', 'and', 'risks', 'of', 'OT', ',', 'optimize', 'whole', 'person', 'approach', 'to', 'pain', 'care', ',', 'optimize', 'treatment', 'of', 'co', '-', 'occurring', 'mental', 'health', 'conditions', ',', 'optimize', 'non', '-', 'opioid', 'pain', 'treatment', 'modalities', ',', 'reassess', 'for', 'OUD', 'and', 'readiness', 'for', 'OUD', 'treatment', 'as', 'indicated']",14,46
What to do if there is high risk or dangerous behavior?,What,33,"address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated (see VA/DoD SUD CPG and Academic Detailing Tapering Document), exit algorithm and manage with non-opioid modalities",Algorithm,0,0.10344827586206896,"['What', 'to', 'do', 'if', 'there', 'is', 'high', 'risk', 'or', 'dangerous', 'behavior', '?']","['address', 'safety', 'and', 'misuse', ',', 'assess', 'for', 'withdrawal', 'symptoms', 'and', 'offer', 'expedited', 'taper', ',', 'immediate', 'discontinuation', 'or', 'detox', 'as', 'indicated', ',', 'continue', 'to', 'monitor', 'for', 'SUD', 'and', 'mental', 'health', 'comorbidities', 'and', 'offer', 'treatment', 'as', 'indicated', '(', 'see', 'VA', '/', 'DoD', 'SUD', 'CPG', 'and', 'Academic', 'Detailing', 'Tapering', 'Document', ')', ',', 'exit', 'algorithm', 'and', 'manage', 'with', 'non', '-', 'opioid', 'modalities']",12,58
What to do if there is high risk or dangerous behaviors?,What,34,repeat comprehensive biopsychosocial assessment and see if an SUD is identified,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'is', 'high', 'risk', 'or', 'dangerous', 'behaviors', '?']","['repeat', 'comprehensive', 'biopsychosocial', 'assessment', 'and', 'see', 'if', 'an', 'SUD', 'is', 'identified']",12,11
What to do if there is use of opioids to modulate emotions or an untreated or undertreated psychiatric disorder?,What,35,"engage the patient in appropriate behavioral and/or psychiatric treatment, ideally in an interdisciplinary setting, consider reduced rate of taper or pause in taper for patients actively engaged in skills training",Algorithm,0,0.0689655172413793,"['What', 'to', 'do', 'if', 'there', 'is', 'use', 'of', 'opioids', 'to', 'modulate', 'emotions', 'or', 'an', 'untreated', 'or', 'undertreated', 'psychiatric', 'disorder', '?']","['engage', 'the', 'patient', 'in', 'appropriate', 'behavioral', 'and/or', 'psychiatric', 'treatment', ',', 'ideally', 'in', 'an', 'interdisciplinary', 'setting', ',', 'consider', 'reduced', 'rate', 'of', 'taper', 'or', 'pause', 'in', 'taper', 'for', 'patients', 'actively', 'engaged', 'in', 'skills', 'training']",20,32
When to follow-up after each change in dosage?,When,36,1 week to 1 month,Algorithm,1,1.0,"['When', 'to', 'follow', '-', 'up', 'after', 'each', 'change', 'in', 'dosage', '?']","['1', 'week', 'to', '1', 'month']",11,5
What to use for more frequent follow-up?,What,37,the expanded care team,Algorithm,0,0.4,"['What', 'to', 'use', 'for', 'more', 'frequent', 'follow', '-', 'up', '?']","['the', 'expanded', 'care', 'team']",10,4
What to do if patient is fearful or anxious about taper and ability to function on lower dose or without opioids?,What,38,"provide additional education about whole person pain care and LOT and reassurance that the patient will not be abandoned, consider more frequent follow-up using the expanded care team (registered nurse, clinical pharmacist, health coach, mental health provider), consider reduced rate of taper or pause in taper for patients actively engaged in skills training, reassess for OUD throughout the taper",Algorithm,0,0.4864864864864865,"['What', 'to', 'do', 'if', 'patient', 'is', 'fearful', 'or', 'anxious', 'about', 'taper', 'and', 'ability', 'to', 'function', 'on', 'lower', 'dose', 'or', 'without', 'opioids', '?']","['provide', 'additional', 'education', 'about', 'whole', 'person', 'pain', 'care', 'and', 'LOT', 'and', 'reassurance', 'that', 'the', 'patient', 'will', 'not', 'be', 'abandoned', ',', 'consider', 'more', 'frequent', 'follow', '-', 'up', 'using', 'the', 'expanded', 'care', 'team', '(', 'registered', 'nurse', ',', 'clinical', 'pharmacist', ',', 'health', 'coach', ',', 'mental', 'health', 'provider', ')', ',', 'consider', 'reduced', 'rate', 'of', 'taper', 'or', 'pause', 'in', 'taper', 'for', 'patients', 'actively', 'engaged', 'in', 'skills', 'training', ',', 'reassess', 'for', 'OUD', 'throughout', 'the', 'taper']",22,69
What to do if there is no evidence of diversion?,What,39,"look for high-risk or dangerous behavior (e.g., overdose event, accidents, and threatening provider)",Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'is', 'no', 'evidence', 'of', 'diversion', '?']","['look', 'for', 'high', '-', 'risk', 'or', 'dangerous', 'behavior', '(', 'e.g.', ',', 'overdose', 'event', ',', 'accidents', ',', 'and', 'threatening', 'provider', ')']",11,20
What to do if an SUD is not identified and there is use of opioids to modulate emotions or an untreated or undertreated psychiatric disorder?,What,40,"engage the patient in appropriate behavioral and/or psychiatric treatment, ideally in an interdisciplinary setting, consider reduced rate of taper or pause in taper for patients actively engaged in skills training",Algorithm,0,0.0689655172413793,"['What', 'to', 'do', 'if', 'an', 'SUD', 'is', 'not', 'identified', 'and', 'there', 'is', 'use', 'of', 'opioids', 'to', 'modulate', 'emotions', 'or', 'an', 'untreated', 'or', 'undertreated', 'psychiatric', 'disorder', '?']","['engage', 'the', 'patient', 'in', 'appropriate', 'behavioral', 'and/or', 'psychiatric', 'treatment', ',', 'ideally', 'in', 'an', 'interdisciplinary', 'setting', ',', 'consider', 'reduced', 'rate', 'of', 'taper', 'or', 'pause', 'in', 'taper', 'for', 'patients', 'actively', 'engaged', 'in', 'skills', 'training']",26,32
What to do if the patient resists taper?,What,41,repeat comprehensive biopsychosocial assessment and see if an SUD is identified,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'the', 'patient', 'resists', 'taper', '?']","['repeat', 'comprehensive', 'biopsychosocial', 'assessment', 'and', 'see', 'if', 'an', 'SUD', 'is', 'identified']",9,11
When to follow-up after discontinuation?,When,42,1 week to 1 month,Algorithm,1,1.0,"['When', 'to', 'follow', '-', 'up', 'after', 'discontinuation', '?']","['1', 'week', 'to', '1', 'month']",8,5
What to do if there is evidence of diversion?,What,43,immediately discontinue opioid therapy,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'is', 'evidence', 'of', 'diversion', '?']","['immediately', 'discontinue', 'opioid', 'therapy']",10,4
What includes expanded care team?,What,44,"registered nurse, clinical pharmacist, health coach, mental health provider",Algorithm,1,1.0,"['What', 'includes', 'expanded', 'care', 'team', '?']","['registered', 'nurse', ',', 'clinical', 'pharmacist', ',', 'health', 'coach', ',', 'mental', 'health', 'provider']",6,12
What to do immediately after discontinuing OT?,What,45,"address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated (see VA/DoD SUD CPG and Academic Detailing Tapering Document), exit algorithm and manage with non-opioid modalities",Algorithm,0,0.5882352941176471,"['What', 'to', 'do', 'immediately', 'after', 'discontinuing', 'OT', '?']","['address', 'safety', 'and', 'misuse', ',', 'assess', 'for', 'withdrawal', 'symptoms', 'and', 'offer', 'expedited', 'taper', ',', 'immediate', 'discontinuation', 'or', 'detox', 'as', 'indicated', ',', 'continue', 'to', 'monitor', 'for', 'SUD', 'and', 'mental', 'health', 'comorbidities', 'and', 'offer', 'treatment', 'as', 'indicated', '(', 'see', 'VA', '/', 'DoD', 'SUD', 'CPG', 'and', 'Academic', 'Detailing', 'Tapering', 'Document', ')', ',', 'exit', 'algorithm', 'and', 'manage', 'with', 'non', '-', 'opioid', 'modalities']",8,58
